course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4,class,degree,enrollment,online,in_person,blended_learning
Biomedical Informatics,Arizona State University,"Phoenix, Arizona, United States","The MS in Biomedical Informatics program from Arizona State University is part of the College of Health Solutions. Professionals in the field use biomedical data, information and knowledge to improve human health.","20,349 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Science,University of North Carolina Chapel Hill,"Chapel Hill, North Carolina, United States",The programs of the School of Information and Library Science (SILS) are designed to prepare students for professional employment and advanced study in the fields of information and library science.,"10,555 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Health Information Technology,Shiraz University of Medical Sciences,"Shiraz, Iran",Students of the Health Information Technology program of Shiraz University of Medical Sciences obtain necessary knowledge and skills to act as a member of the health care team.,"1,729 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Artificial Intelligence (Online),The University of Hertfordshire Online Distance Learning,Online,The MSc in Artificial Intelligence (Online) from University of Hertfordshire mirrors the experience of our Artificial Intelligence Lab and is regularly updated to reflect the most recent developments in the field ensuring you are fully prepared after graduation.,"9,994 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Biostatistics,Queen's University,"Kingston, Canada",The collaborative Master of Science program from Queen's University specializing in Biostatistics is a 12 month program. It is intended to meet the growing national and international demand for qualified Master’s level biostatisticians in academic and industry sponsored epidemiologic and health services research.,"8,328 EUR / year",month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Business Informatics,Metropolia University of Applied Sciences,"Helsinki, Finland","Studying in the Master's Degree Programme in Business Informatics from the Metropolia University of Applied Sciences will deepen your business skills as well as strategic and managerial expertise through improved understanding of information management, business intelligence systems and ICT platforms. ","11,000 EUR / year",month,24.0,M.B.A.,Full-time,,,,Master's,M.B.A.,Full-time,No,No,No
Information Technology (Project option),Abu Dhabi University,Multiple locations,"In an industry that changes faster than almost any other sector in today’s economy, this Information Technology (Project option) program from Abu Dhabi University will help you stay relevant and grow your career. ","10,396 EUR / year",month,24.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
Information Technology,College of Saint Rose,"Albany, New York, United States","At College of Saint Rose, you are a person, not just a number. The Information Technology program offers students small class sizes of typically 20 students — all held in computer labs—and one-on-one access to faculty. It is flexible for both traditional and nontraditional students, enabling candidates to earn a degree taking only evening and online classes.",691 EUR / credit,month,12.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Statistics,Simon Fraser University,"Burnaby, Canada",The master of science (MSc) in Statistics program at Simon Fraser University offers exposure to a wide range of statistical techniques and provides experience in the application of statistical methods. It teaches statistical expertise for careers in either theoretical or applied statistics.,"2,458 EUR / year",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Health Informatics,Hofstra University,"Hempstead, New York, United States","The Master of Science in Health Informatics at Hofstra University located in Long Island, New York offers an innovative curriculum and advanced training for the next generation of healthcare informatics professionals who utilize the power of information technology to transform healthcare and improve the quality of patient care.","22,250 EUR / year",month,36.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Technology (Thesis option),Abu Dhabi University,"Abu Dhabi, United Arab Emirates","In an industry that changes faster than almost any other sector in today’s economy, this Information Technology (Thesis option) program from Abu Dhabi University will help you stay relevant and grow your career. ","10,396 EUR / year",month,24.0,M.Sc.,Part-time,,,,Master's,M.Sc.,Part-time,No,No,No
"Cyber Security, Threat Intelligence and Forensics",University of Salford,"Salford, England, United Kingdom","Cyber Security, Threat Intelligence and Forensics degree offered at University of Salford will help you enhance your existing computer science and IT knowledge and gain in-depth skills ready to build a career in cyber security, cyber threat intelligence and digital forensics.","16,147 EUR / year",month,12.0,M.Sc.,Full-time,Part-time,,,Master's,M.Sc.,Full-time & Part-time,No,No,No
International Enterprise Information Management,Kingston University,"London, England, United Kingdom",The International Enterprise Information Management programme at Kingston University is offered as a partnership between Kingston University and Neu-Ulm University and leads to a dual degree from both universities. The programme is designed to develop new knowledge and skills that are particularly important to design and implement information systems strategies in international organisations.,,month,18.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Biostatistics,New York Medical College,"Sleepy Hollow, New York, United States","The M.S. in Biostatistics is a quantitatively-oriented graduate program. In order to ensure your success in this program, our faculty looks for a strong background and demonstrated quantitative ability.","1,007 EUR / credit",month,24.0,M.Sc.,Full-time,,,,Master's,M.Sc.,Full-time,No,No,No
Information Systems,University of Michigan-Dearborn,"Dearborn Heights, Michigan, United States","The Information Systems program of University of Michigan-Dearborn provides the knowledge and skills required to manage IT projects, oversee application development, and develop an organization's IT strategy.","1,137 EUR / credit",month,12.0,M.Sc.,Full-time,Part-time,Blended Learning,,Master's,M.Sc.,Full-time & Part-time,Blended,Blended,No
Information Studies,Aalborg University,Multiple locations,"The Master’s program in Information Studies at Aalborg University focuses on the design, development, and evaluation of IT systems with a particular emphasis on the relations and interactions between people and IT systems. The degree in Information Studies provides students with skills and competencies sought by the IT industry, and which are applicable wherever people and IT meet and interact.","9,252 EUR / year",month,24.0,Full-time,Full-time,,,,Master's,Full-time,Full-time & Full-time,No,No,No
Business Analytics (Professional),Victoria University,"Melbourne, Victoria, Australia","Become an industry leader in enterprise resource management planning (ERP) systems and SAP with The Business Analytics (Professional) master at Victoria University. VU's business masters programs are world-class, and highly valued in the industry. We have strong industry connections, offering real-world experience and networking opportunities.","18,324 EUR / year",month,24.0,Full-time,Full-time,Part-time,,,Master's,Full-time,Full-time & Full-time & Part-time,No,No,No
