course_name,institution,location,description,cost,dur_period,dur_number,extra_0,extra_1,extra_2,extra_3,extra_4
Big Data Management,IUBH University of Applied Sciences,"Bad Honnef, Germany","As a Big Data Manager, your goal is to generate maximum strategic value from data. You coordinate projects and work at the interface between head management, data engineering and data analysis. Big Data Management is offered at IUBH University of Applied Sciences.","14,980 EUR / year",month,18,M.B.A.,Full-time,Blended Learning,,
Data Science (Computational Biology and Bioinformatics Concentration),Lewis University,Online,"The online Master of Science in Data Science concentration in Computational Biology and Bioinformatics at Lewis University is tailored for students so they are able to better understand computational biology, bioinformatics, biotechnology research, and life science data mining. ",694 EUR / credit,month,24,M.Sc.,Part-time,,,
Data Science,Michigan Technological University,"Houghton, Michigan, United States","Today, society generates much more data than organizations are able to effectively consume. As a result, only a tiny fraction of that data is ever analyzed. The result is that the need for trained data scientists is growing exponentially. ","18,832 EUR / year",month,12,M.Sc.,Full-time,,,
Econometrics - Data Science and Business Analytics,University of Amsterdam,"Amsterdam, Netherlands",In the Econometrics - Data Science and Business Analytics track at University of Amsterdam your focus is on analysis of the large amounts of data that organisations collect through the internet and social media. ,"14,965 EUR / year",month,12,M.Sc.,Full-time,,,
Data Science (2 years),Heriot-Watt University,"Edinburgh, Scotland, United Kingdom","The Data Science (2 years) programme at Heriot-Watt University offers an opportunity for graduates looking to transition to a new career path in Data Science, yet coming from a background outside Computing. ","21,852 EUR / year",month,24,M.Sc.,Full-time,,,
Data Science and Analytics with a Year in Industry,Royal Holloway University of London,"London, England, United Kingdom","Study the Data Science and Analytics with a Year in Industry course at Royal Holloway University of London and you’ll develop the practical skills needed to handle and analyse data in a wide variety of fields, preparing you for a rewarding career in Big Data.","23,177 EUR / year",month,24,M.Sc.,Full-time,,,
Social Informatics,University of Ljubljana,"Ljubljana, Slovenia","The transdisciplinary master’s study programme of Social Informatics at University of Ljubljana with more than 30 years long tradition brings together social and computer sciences for two reasons: firstly, to promote uses of various information-communication technologies (ICTs) in social science research.","4,000 EUR / year",month,12,M.A.,Full-time,,,
Data Analytics,Dublin Business School,"Dublin, Ireland","With increased availability of information about customer preferences and actions, production processes and supply chains, there is growing recognition of the economic returns from the use of big data and Data Analytics. The Data Analytics program is offered at Dublin Business School.","12,500 EUR / year",month,12,M.Sc.,Full-time,Part-time,,
Data Science,Monash University,"Caulfield North, Victoria, Australia","The Data Science program at Monash University teaches you how to explore data and discover its potential – how to find innovative solutions to real problems in science, business and government, from technology start-ups to global organisations. With a degree in science, engineering, arts or computing, you can pursue a Master of Data Science, gaining skills in data management.","26,470 EUR / year",month,12,Full-time,Part-time,,,
Business Data Analytics,Bond University,"Gold Coast, Queensland, Australia","In a global marketplace built on data collection, targeted communication strategies, machine learning and artificial intelligence, it’s not enough to gather information and crunch the numbers; you have to know how to apply that data to real-life scenarios in a way that will impact behaviour. That’s what makes the Master of Business Data Analytics from Bond University so unique.","19,716 EUR / year",month,16,Full-time,,,,
Statistics and Data Science,University of Arizona,"Tucson, Arizona, United States","Our mission of the Statistics and Data Science at University of Arizona is to develop the next generation of data scientists, trained to meet the challenges of modern interdisciplinary data extraction, analysis, and interpretation.","17,452 EUR / year",month,12,M.Sc.,Full-time,,,
Applied Data Science,University of Southern Queensland,"Toowoomba, Queensland, Australia",The Applied Data Science certificate from the University of Southern Queensland provides students with the opportunity to further their knowledge in discipline areas critical to their professional responsibilities and interests.,"9,005 EUR / year",month,12,Postgraduate Certificate,Part-time,Online,,
